Indicator Name,productivity_swe,productivity_fin,productivity_jap
Country Name,Sweden,Finland,Japan
1991,63837,64373,65566
1992,65950,66821,65372
1993,68480,70563,64908
1994,71890,74146,65593
1995,73246,78491,67308
1996,75038,80282,69056
1997,78297,83124,69147
1998,81096,85339,68819
1999,82465,86123,69145
2000,84978,89954,71325
2001,84191,90612,72007
2002,85866,91889,72912
2003,87860,93699,74186
2004,92487,97622,75688
2005,94565,97412,76726
2006,96901,99569,77433
2007,97706,102823,78208
2008,96152,102005,77530
2009,93957,96654,74242
2010,99297,100283,77571
2011,100403,101580,77633
2012,99374,99790,78897
2013,99434,99962,79906
2014,101103,99964,79520
2015,104134,100949,80487
2016,104438,103340,80139
2017,105065,105590,80549
2018,105409,104032,79405
2019,106856,104208,78234
2020,106090,103223,75334
2021,111262,105310,77054
2022,110797,104726,77638
